latency,type,valid,rotation,distance,block
1373.0663140666875,body,1,12,11,1
1374.80988087265,object,1,57,1,1
1376.5536607801332,object,1,59,27,1
1378.430464745601,face,1,43,5,1
1380.3518836323638,body,1,161,6,1
1381.9289015889663,face,1,13,1,1
1383.5059138455254,object,1,73,72,1
1385.105153762066,body,1,96,2,1
1386.7598274280026,object,1,75,1,1
1388.4257126738376,object,1,24,16,1
1390.1583753511804,object,1,154,30,1
1391.7575287671789,object,1,51,33,1
1393.3567636839143,object,1,130,9,1
1394.9117935821268,object,1,58,10,1
1396.6440696567588,object,1,135,45,1
1398.3987439927878,body,1,32,9,1
1400.38671155872,object,1,57,6,1
1402.2858797852095,object,1,167,13,1
1404.1849978113169,body,1,1,2,1
1405.984145667564,face,1,55,5,1
1407.639174535856,body,1,84,2,1
1409.249321481053,face,1,8,4,1
1411.1817159968778,object,0,143,43,1
1412.9474770119705,face,1,7,1,1
1414.8357510099158,body,1,81,6,1
1416.568113685309,object,1,3,17,1
1418.478405241869,body,1,32,9,1
1420.1219270774163,face,1,70,6,1
1421.7213377952576,object,1,73,11,1
1423.2648596607032,body,0,9,2,1
1425.1752583180787,object,1,108,8,1
1427.096591404188,object,1,166,5,1
1428.9068344902917,body,1,37,11,1
1430.7947934860567,face,1,8,4,1
1432.582760611811,object,1,15,24,1
1434.1597941685322,face,1,26,4,1
1436.0033217444143,body,1,167,13,1
1437.8802889601648,body,0,141,2,1
1439.868235326052,object,1,154,30,1
1441.7006587720098,object,1,37,2,1
1443.3886958280782,object,0,83,82,1
1445.1325199357816,face,1,8,3,1
1447.13157063158,object,0,24,16,1
1449.1084001674462,face,1,8,1,1
1450.929846884217,body,1,161,6,1
1452.4623334200442,object,1,84,19,1
1454.3061743981816,face,1,8,3,1
1456.1161631824652,object,1,49,7,1
1458.026371138505,face,1,19,3,1
1459.9698003837111,face,1,12,4,1
1461.580188380016,object,1,53,6,1
1463.3682395062933,face,1,72,3,1
1464.967586323648,face,1,54,4,1
1466.9887408787326,body,0,180,4,1
1468.954708786172,object,1,57,6,1
1470.631626512215,body,1,4,13,1
1472.4086118087434,face,1,9,2,1
1474.0968190661224,object,1,47,7,1
1476.1066536895232,face,1,85,1,1
1478.0280795763392,face,0,11,4,1
1479.9606235933024,body,1,27,6,1
1481.7485641187232,face,1,114,2,1
1483.691974163914,face,1,10,3,1
1485.3246880715596,object,0,14,80,1
1487.0127962773404,body,1,174,6,1
1488.6675774440955,object,0,27,23,1
1490.522278850185,body,1,140,6,1
1492.4989433849114,face,1,8,4,1
1494.4093981426995,object,1,178,7,1
1496.3195847984607,body,1,13,14,1
1498.0965210948489,face,1,15,1,1
1499.7734682209993,face,1,14,2,1
1501.7280815967388,object,1,24,9,1
1503.3606547034287,body,1,93,1,1
1505.3707280286471,face,1,93,1,1
1507.2699354554352,face,1,73,4,1
1509.235701061465,object,1,73,72,1
1511.2568193655316,body,0,117,5,1
1529.3484288988839,object,1,60,9,1
1531.2474322242342,body,1,113,6,1
1533.202113600375,body,1,2,5,1
1535.2234458059684,body,1,84,2,1
1537.1891309115017,object,1,106,13,1
1538.7550532382447,body,1,164,12,1
1540.7652524643054,object,1,143,43,1
1542.6644091907074,face,1,54,1,1
1544.6191214671999,body,1,165,6,1
1546.5514313822641,face,1,2,2,1
1548.172923359205,body,1,164,12,1
1549.783207605331,face,1,14,3,1
1551.3491753324197,body,1,65,2,1
1552.8817375688232,face,1,93,1,1
1554.6031784154766,object,1,158,19,1
1556.4578359214502,object,1,136,5,1
1558.3902820375515,face,1,14,3,1
1559.9784366735985,body,1,12,4,1
1561.699845820127,object,1,8,36,1
1563.332465027168,body,1,72,28,1
1565.3314837226062,object,1,86,14,1
1567.1528743390663,body,1,12,11,1
1569.1297425751109,body,1,81,6,1
1571.073390821999,object,1,76,4,1
1572.7280212874757,body,1,18,11,1
1574.616161484635,body,1,179,9,1
1576.5152994107775,object,1,58,10,1
1578.3698822161969,face,1,54,1,1
1580.202284561994,face,1,10,3,1
1582.1570725389465,object,1,75,3,1
1584.0337291526957,object,1,81,11,1
1585.8885660599335,object,1,178,7,1
1587.5655189862446,face,1,12,4,1
1589.1981046928995,face,1,14,2,1
1591.0860412885086,face,1,101,3,1
1592.6963923352596,face,1,23,4,1
1594.4399999415327,body,0,51,9,1
1596.4169472780632,face,1,5,2,1
1598.4048012432468,body,1,13,11,1
1600.0374263503327,face,1,15,1,1
1601.8588337669207,body,0,52,8,1
1603.6467786923895,body,1,153,9,1
1605.6571020193805,body,1,109,9,1
1607.4116691544768,object,0,75,1,1
1608.944289340725,object,1,62,13,1
1610.4992388383253,body,1,20,7,1
1612.4983260344015,body,0,174,6,1
1614.4750467694394,object,0,57,1,1
1616.4519415056857,object,1,8,36,1
1618.1511216919753,body,1,18,11,1
1619.9835429378,face,1,5,5,1
1621.527295404885,body,1,179,5,1
1623.3931816416298,object,1,152,6,1
1625.192346398122,object,1,129,2,1
1626.8582740948914,object,1,32,50,1
1628.5241296912136,object,1,175,21,1
1630.4234446188202,object,1,158,19,1
1632.4558011044428,body,1,13,11,1
1634.0324912080687,object,1,10,43,1
1635.6650981150015,face,1,73,4,1
1637.3865074612986,body,1,169,7,1
1639.352265267371,body,1,18,11,1
1640.9625670136302,object,1,10,43,1
1642.9616197094438,face,1,1,3,1
1644.8052716861566,face,1,53,1,1
1646.3712235131243,object,1,82,12,1
1648.314874759919,face,1,13,4,1
1649.8806635856454,body,1,11,1,1
1651.6576048819552,body,1,0,2,1
1653.2680404292332,face,1,9,2,1
1655.011512834477,object,1,171,9,1
1656.9105762095714,face,1,4,3,1
1658.6876867070532,face,1,14,2,1
1660.653413312888,face,1,54,4,1
1662.541408208941,object,0,86,14,1
1664.4293446045485,body,1,95,1,1
1666.3507670913386,object,1,7,6,1
1668.2831982073258,body,1,65,2,1
1670.226626752643,object,1,16,14,1
1671.914810309725,object,1,130,9,1
1673.7140032663156,object,1,37,27,1
1675.6577256136516,face,1,53,1,1
1677.4676724976016,object,1,83,73,1
1679.0114976652549,body,1,15,2,1
1681.0216867911076,face,1,37,8,1
1682.8428797554661,body,1,9,3,1
1684.6198886522907,object,0,108,8,1
1686.441275368721,face,0,8,1,1
1688.1959472044982,body,0,103,1,1
